jobTitle,jobClassification,jobSubClassification,advertiserName,companyName,nation,state,city,area,suburb,workType
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",City West Water,City West Water,Australia,Victoria,Melbourne,Western Suburbs,melbourne,Full Time
Data Scientist,Information & Communication Technology,Other,Macquarie Group Limited,Macquarie Group,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Earth Observation Data Scientist,Information & Communication Technology,Architects,Canberra Consulting,,Australia,Australian Capital Territory,ACT,,,Contract/Temp
"Data Scientist - Data Analytics, Predictive Elasticity Data Scientist Consultant",Information & Communication Technology,Consultants,Infinity Pro,,Australia,New South Wales,Sydney,Parramatta & Western Suburbs,,Full Time
Data Scientist / Statistician,Science & Technology,"Mathematics, Statistics & Information Sciences",The University of Queensland,The University of Queensland,Australia,Queensland,Brisbane,CBD & Inner Suburbs,herston,Full Time
Data Scientist / Statistician,Education & Training,Other,The University of Queensland,The University of Queensland,Australia,Queensland,Brisbane,CBD & Inner Suburbs,herston,Full Time
Senior Data Scientist,Information & Communication Technology,Developers/Programmers,TheDriveGroup,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Senior Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Equifax Australia,Equifax Australia,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Senior Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Preacta Recruitment,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Senior Data Scientist x2 (Contract 700-800pd),Consulting & Strategy,Analysts,Correlate Resources,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Contract/Temp
Data Scientist | Data and Analytics,Information & Communication Technology,Other,EY,EY,Australia,Australian Capital Territory,ACT,,,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Defence Health,Defence Health,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Talenza,,Australia,New South Wales,Sydney,,,Contract/Temp
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",flybuys - Find your place,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Information & Communication Technology,Developers/Programmers,Verse Group,,Australia,Western Australia,Perth,,perth,Full Time
Senior Manager - Data Scientist,Consulting & Strategy,Management & Change Consulting,Capgemini Australia Pty Ltd,Capgemini,Australia,New South Wales,Sydney,,,Full Time
Senior Data Scientist,Information & Communication Technology,Database Development & Administration,Michael Page Digital,,Australia,Queensland,Brisbane,CBD & Inner Suburbs,brisbane,Full Time
Junior Data Scientist,Science & Technology,Modelling & Simulation,Correlate Resources,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Contract/Temp
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Fortescue Metals Group Ltd,Fortescue Metals Group,Australia,Western Australia,Perth,"CBD, Inner & Western Suburbs",perth,Part Time
People Systems Data & Reporting Specialist,Science & Technology,"Mathematics, Statistics & Information Sciences",Fortescue Metals Group Ltd,Fortescue Metals Group,Australia,Western Australia,Perth,"CBD, Inner & Western Suburbs",perth,Full Time
Data Scientist  ,Information & Communication Technology,Business/Systems Analysts,Six Degrees Executive Pty Ltd,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Valrose,,Australia,Western Australia,Perth,"CBD, Inner & Western Suburbs",perth,Contract/Temp
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",ME Bank,ME Bank,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
EL1 Senior Data Scientist ,Information & Communication Technology,Other,HorizonOne Recruitment,,Australia,Australian Capital Territory,ACT,,,Full Time
EL1 Senior Data Scientist ,Government & Defence,Government - Federal,HorizonOne Recruitment,,Australia,Australian Capital Territory,ACT,,,Full Time
Data Scientist/Software Developer,Information & Communication Technology,Developers/Programmers,Elenium Automation Pty Ltd,,Australia,Victoria,Melbourne,Northern Suburbs,tullamarine,Full Time
Manager - Climate Data Science and Coordination,Consulting & Strategy,Environment & Sustainability Consulting,Deloitte,Deloitte,Australia,New South Wales,Sydney,,,Full Time
Data Scientist - Personalisation,Science & Technology,"Mathematics, Statistics & Information Sciences",Endeavour Group,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",surryhills,Full Time
Lead Data Scientist - Digital Media,Information & Communication Technology,Management,FIRESOFT People,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",surryhills,Full Time
Senior Data Scientist,Information & Communication Technology,Developers/Programmers,Amplify Partners Pty Ltd,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Lead Data Scientist: Digital Media & Customer Data,Science & Technology,"Mathematics, Statistics & Information Sciences",Talent Insights Group Pty Ltd,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Information & Communication Technology,Other,FIRESOFT People,,Australia,New South Wales,Sydney,North West & Hills District,,Contract/Temp
Data Scientist,Information & Communication Technology,Other,Allura Partners,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Preacta Recruitment,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Insurance & Superannuation,Other,AMP Services Limited,AMP,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Information & Communication Technology,Business/Systems Analysts,AMP Services Limited,AMP,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Insurance & Superannuation,Other,AMP Services Limited,AMP,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Information & Communication Technology,Business/Systems Analysts,AMP Services Limited,AMP,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Lead Data Scientist,Information & Communication Technology,Consultants,Opus Recruitment Solutions,,Australia,New South Wales,Sydney,,,Full Time
Senior Data Scientist - Machine Learning/NLP,Information & Communication Technology,Consultants,Opus Recruitment Solutions,,Australia,New South Wales,Sydney,,,Full Time
Data Scientist - Retail & Customer Analytics in Greenfield Team!,Science & Technology,"Mathematics, Statistics & Information Sciences",Talent Insights Group Pty Ltd,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist ,Information & Communication Technology,Consultants,Halcyon Knights Pty Ltd,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Lead Data Scientist - Retail & Customer Analytics in Greenfield Team!,Science & Technology,"Mathematics, Statistics & Information Sciences",Talent Insights Group Pty Ltd,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist - Mid + Senior Positions Available,Information & Communication Technology,Consultants,Detector Inspector,,Australia,Victoria,Melbourne,Bayside & South Eastern Suburbs,carnegie,Full Time
Data Scientist,Information & Communication Technology,Engineering - Software,Northbridge Recruitment,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist - Machine Learning,Science & Technology,"Mathematics, Statistics & Information Sciences",Morgan McKinley,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist - Internal Consultancy - Customer Analytics,Science & Technology,"Mathematics, Statistics & Information Sciences",Talent Insights Group Pty Ltd,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
EL1 Senior Data Scientist ,Government & Defence,Government - Federal,HorizonOne Recruitment,,Australia,Australian Capital Territory,ACT,,,Full Time
Data Scientist,Science & Technology,Modelling & Simulation,Betfair Pty Ltd,Betfair,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Information & Communication Technology,Engineering - Software,Aurec,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist - Sydney,Information & Communication Technology,Other,Hays Information Technology,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Graduate Data Scientist | Financial Services,Banking & Financial Services,Analysis & Reporting,Rich Data Corporation,,Australia,New South Wales,Sydney,North Shore & Northern Beaches,northsydney,Full Time
Data Scientist,Banking & Financial Services,Other,AMP Services Limited,AMP,Australia,New South Wales,Sydney,,sydney,Full Time
Data Analyst - (Salesforce Effectiveness),Healthcare & Medical,Pharmaceuticals & Medical Devices,The iQ Group Global,The iQ Group Global,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Engineer,Information & Communication Technology,Engineering - Software,Infopeople,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",The Social Research Centre,The Social Research Centre,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Senior Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",T+O+M Executive,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Information & Communication Technology,Consultants,JP SOLUTIONS AUSTRALIA PTY LTD,,Australia,New South Wales,Sydney,Parramatta & Western Suburbs,parramatta,Contract/Temp
Digital Media Data Scientist,Information & Communication Technology,Other,FIRESOFT People,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",surryhills,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Preacta Recruitment,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Lead Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",WSP Australia Pty Limited,WSP,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Lead Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",WSP Australia Pty Limited,WSP,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",WSP Australia Pty Limited,WSP,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",WSP Australia Pty Limited,WSP,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Advanced Analytics Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Allianz Australia Insurance Ltd,Allianz,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",northsydney,Full Time
Data Scientist (3 days per week initially),Information & Communication Technology,Business/Systems Analysts,St Vincent's Institute of Medical Research,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,fitzroy,Part Time
Data Scientist ,Information & Communication Technology,Developers/Programmers,Green Light PS Pty Ltd,,Australia,Western Australia,Perth,"CBD, Inner & Western Suburbs",perth,Full Time
Senior Data Scientist  (Multiple Contracts @ $700-800pd),Consulting & Strategy,Analysts,Correlate Resources,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Contract/Temp
Junior Data Scientist - 6 Month Contract,Science & Technology,"Mathematics, Statistics & Information Sciences",Talent Insights Group Pty Ltd,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Contract/Temp
Senior Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Frollo,,Australia,New South Wales,Sydney,North Shore & Northern Beaches,northsydney,Full Time
Data Scientist,Information & Communication Technology,Business/Systems Analysts,ACH Group,ACH Group,Australia,South Australia,Adelaide,,mileend,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Link Group,Link Group,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Principal Data Science Consultant | Data Scientist | Data Science Lead,Science & Technology,"Mathematics, Statistics & Information Sciences",inDmand Career Solutions,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Elula,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist | Data and Analytics,Information & Communication Technology,Engineering - Software,EY,EY,Australia,Australian Capital Territory,ACT,,,Full Time
Data Scientist,Information & Communication Technology,Business/Systems Analysts,PetSure (Australia) Pty Ltd,PetSure,Australia,New South Wales,Sydney,North Shore & Northern Beaches,chatswood,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,,Australia,New South Wales,Sydney,Parramatta & Western Suburbs,parramatta,Contract/Temp
Data Scientist,Information & Communication Technology,Architects,Peoplebank Australia NSW,,Australia,New South Wales,Sydney,Parramatta & Western Suburbs,parramatta,Contract/Temp
"Data Scientist - Big Data, Machine Learning & AI",Information & Communication Technology,Other,Limelight People,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Information & Communication Technology,Other,Quay Appointments,,Australia,New South Wales,Sydney,Parramatta & Western Suburbs,parramatta,Casual/Vacation
Principal Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Sage,Sage,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Principal Data Science Consultant | Data Scientist | Data Science Lead,Science & Technology,"Mathematics, Statistics & Information Sciences",inDmand Career Solutions,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Information & Communication Technology,Other,Macquarie Group Limited,Macquarie Group,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist ,Information & Communication Technology,Other,The Network,,Australia,New South Wales,Sydney,Parramatta & Western Suburbs,parramatta,Full Time
Data Scientist,Information & Communication Technology,Database Development & Administration,Clicks IT Recruitment (ACT),,Australia,South Australia,Adelaide,,,Contract/Temp
Data Scientist,Information & Communication Technology,Database Development & Administration,MTP Services,MTP Services,Australia,South Australia,Adelaide,,adelaide,Contract/Temp
Data Scientist,Information & Communication Technology,Other,Whizdom,,Australia,South Australia,Adelaide,,adelaide,Contract/Temp
Data Scientist,Information & Communication Technology,Other,face2face Recruitment,,Australia,South Australia,Adelaide,,adelaide,Contract/Temp
Data Scientist,Government & Defence,Government - Federal,Karlka Recruiting Group,,Australia,South Australia,Adelaide,,adelaide,Contract/Temp
Data Scientist,Information & Communication Technology,Architects,Hays Information Technology,,Australia,New South Wales,Sydney,Parramatta & Western Suburbs,,Contract/Temp
Data Scientist,Information & Communication Technology,Developers/Programmers,onpoint 365,,Australia,South Australia,Adelaide,,adelaide,Contract/Temp
Data Scientist | Contract | Iconic organisation |,Information & Communication Technology,Developers/Programmers,Billigence,Billigence,Australia,New South Wales,Sydney,,,Contract/Temp
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Preacta Recruitment,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist ,Information & Communication Technology,Consultants,Bluefin Resources Pty Limited,,Australia,New South Wales,Sydney,Parramatta & Western Suburbs,parramatta,Contract/Temp
Data Scientist,Information & Communication Technology,Other,ZANCOTT Recruitment,,Australia,South Australia,Adelaide,,,Full Time
Data Scientist | Multiple Vacancies,Government & Defence,Government - Federal,First People Recruitment Solutions Pty Ltd,,Australia,South Australia,Adelaide,,,Contract/Temp
Junior Data Scientist,Science & Technology,Modelling & Simulation,Correlate Resources,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Contract/Temp
Data Engineer,Information & Communication Technology,Other,TABCORP,Tabcorp,Australia,New South Wales,Sydney,,,Full Time
Data Engineer,Science & Technology,"Mathematics, Statistics & Information Sciences",TABCORP,Tabcorp,Australia,New South Wales,Sydney,,,Full Time
Data Scientist with Full Stack Development,Information & Communication Technology,Other,Compas Pty Ltd,,Australia,Australian Capital Territory,ACT,,canberra,Contract/Temp
Data Scientist ,Information & Communication Technology,Database Development & Administration,Peoplebank Australia ACT,,Australia,Australian Capital Territory,ACT,,canberra,Full Time
Data Scientist with Full Stack Development Experience,Information & Communication Technology,Developers/Programmers,Ignite,,Australia,Australian Capital Territory,ACT,,,Contract/Temp
Data Scientist,Information & Communication Technology,Business/Systems Analysts,First Grade Recruitment,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Contract/Temp
Senior Analyst - Data Scientist,Banking & Financial Services,Analysis & Reporting,Deloitte,Deloitte,Australia,New South Wales,Sydney,,,Full Time
Data Scientist,Information & Communication Technology,Architects,Paxus,,Australia,Western Australia,Perth,,,Full Time
Data Scientist - Natural Language Processing Specialist,Science & Technology,"Mathematics, Statistics & Information Sciences",Hypercube Scientific,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Lead Quantitative Analyst / Data Scientist - Behavioural Economics,Marketing & Communications,Market Research & Analysis,Resources Group,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Saluda Medical,,Australia,New South Wales,Sydney,North Shore & Northern Beaches,artarmon,Full Time
Graduate Data Science / Engineer,Information & Communication Technology,Engineering - Software,NRMA Motoring & Services,NRMA Motoring & Services,Australia,New South Wales,Sydney,Parramatta & Western Suburbs,,Full Time
Senior Data Scientist  (Multiple Contracts @ $650-800pd),Consulting & Strategy,Analysts,Correlate Resources,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Contract/Temp
Data Scientist,Information & Communication Technology,Engineering - Software,Northbridge Recruitment,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Product Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",PI.EXCHANGE,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Information & Communication Technology,Other,Peoplebank Australia WA,,Australia,Western Australia,Perth,"CBD, Inner & Western Suburbs",perth,Full Time
Data Scientist,Information & Communication Technology,Database Development & Administration,The Onset,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Science & Technology,Modelling & Simulation,Link Group,Link Group,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Information & Communication Technology,Other,MTP Services,MTP Services,Australia,South Australia,Adelaide,,,Contract/Temp
Data Scientist,Information & Communication Technology,Database Development & Administration,Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,,Australia,South Australia,Adelaide,,adelaide,Contract/Temp
Data Scientist ,Science & Technology,"Mathematics, Statistics & Information Sciences",Brady Heywood,,Australia,Queensland,Brisbane,CBD & Inner Suburbs,brisbane,Full Time
Data Scientist,Information & Communication Technology,Other,Whizdom,,Australia,Australian Capital Territory,ACT,,,Contract/Temp
Data Scientist,Information & Communication Technology,Consultants,Ignite,,Australia,South Australia,Adelaide,,adelaide,Contract/Temp
Data Scientist- Product,Science & Technology,"Mathematics, Statistics & Information Sciences",flybuys - Find your place,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Information & Communication Technology,Database Development & Administration,Clicks IT Recruitment (ACT),,Australia,South Australia,Adelaide,,,Contract/Temp
Data Scientist,Information & Communication Technology,Developers/Programmers,Hays Information Technology,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Bupa,Bupa,Australia,New South Wales,Sydney,,,Full Time
Data Scientist,Information & Communication Technology,Database Development & Administration,NOW FINANCE,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Information & Communication Technology,Other,Whizdom,,Australia,South Australia,Adelaide,,adelaide,Contract/Temp
Data Scientist,Information & Communication Technology,Database Development & Administration,Clicks IT Recruitment (ACT),,Australia,New South Wales,Sydney,,,Contract/Temp
Data Scientist - Adelaide or Canberra,Government & Defence,Government - Federal,onpoint 365,,Australia,Australian Capital Territory,ACT,,canberra,Contract/Temp
Senior Data Scientist,Information & Communication Technology,Database Development & Administration,Allura Partners,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Climate Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",CSIRO,CSIRO,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Climate Data Scientist,Government & Defence,Government - Federal,CSIRO,CSIRO,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist - Health System Insights,Science & Technology,"Mathematics, Statistics & Information Sciences",Department of Defence,Australian Department of Defence,Australia,Australian Capital Territory,ACT,,canberra,Full Time
Data Scientist - Health System Insights,Government & Defence,Government - Federal,Department of Defence,Australian Department of Defence,Australia,Australian Capital Territory,ACT,,canberra,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Nithi Research and Management solutions,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Contract/Temp
Data Scientist - Digital Surveillance Collection (Specialist Level 2),Information & Communication Technology,Other,AUSTRALIAN FEDERAL POLICE,Australian Federal Police,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist - Digital Surveillance Collection (Specialist Level 2),Government & Defence,Government - Federal,AUSTRALIAN FEDERAL POLICE,Australian Federal Police,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist - Digital Surveillance Collection (Specialist Level 2),Information & Communication Technology,Other,AUSTRALIAN FEDERAL POLICE,Australian Federal Police,Australia,Australian Capital Territory,ACT,,canberra,Full Time
Data Scientist - Digital Surveillance Collection (Specialist Level 2),Government & Defence,Government - Federal,AUSTRALIAN FEDERAL POLICE,Australian Federal Police,Australia,Australian Capital Territory,ACT,,canberra,Full Time
Junior Data Scientist,Science & Technology,Modelling & Simulation,Correlate Resources,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Contract/Temp
Principal Data Scientist,Information & Communication Technology,Consultants,BLACKROC,,Australia,Queensland,Brisbane,CBD & Inner Suburbs,brisbane,Full Time
Principal Data Scientist,Information & Communication Technology,Consultants,BLACKROC,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Principal Data Scientist,Information & Communication Technology,Consultants,BLACKROC,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Lead Data Scientist,Information & Communication Technology,Other,Lendlease,Lendlease,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,"Mining, Resources & Energy",Other,Alcoa,Alcoa,Australia,Western Australia,Perth,Fremantle & Southern Suburbs,booragoon,Full Time
Senior Data Scientist,"Mining, Resources & Energy",Other,Alcoa,Alcoa,Australia,Western Australia,Perth,Fremantle & Southern Suburbs,booragoon,Full Time
Data Scientist,Information & Communication Technology,Consultants,Commonwealth Superannuation Corporation (CSC),Commonwealth Superannuation Corporation,Australia,Australian Capital Territory,ACT,,canberra,Contract/Temp
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Scalene Group Pty Ltd,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Junior Data Scientist ,Information & Communication Technology,Database Development & Administration,Paxus,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist - Financial Markets,Banking & Financial Services,Corporate Finance & Investment Banking,Westpac Institutional Bank,Westpac Institutional Bank,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Information & Communication Technology,Other,FIRESOFT People,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",surryhills,Contract/Temp
Senior Data Scientist ,Information & Communication Technology,Developers/Programmers,Annalect,Annalect,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Information & Communication Technology,Engineering - Software,Woolworths Group,Woolworths Group,Australia,New South Wales,Sydney,North West & Hills District,,Full Time
Data Scientist,Information & Communication Technology,Other,Compas Pty Ltd,,Australia,Australian Capital Territory,ACT,,canberra,Contract/Temp
Data Scientist,Information & Communication Technology,Consultants,Modis,,Australia,Australian Capital Territory,ACT,,,Contract/Temp
Data Scientist,Information & Communication Technology,Other,Recruitment Hive,,Australia,Australian Capital Territory,ACT,,canberra,Contract/Temp
Data Scientist,Information & Communication Technology,Other,Hays Information Technology,,Australia,South Australia,Adelaide,,,Full Time
Data Scientist,Information & Communication Technology,Consultants,Commonwealth Superannuation Corporation (CSC),Commonwealth Superannuation Corporation,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Contract/Temp
Data Scientist,Information & Communication Technology,Other,Link Group,Link Group,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Information & Communication Technology,Other,GMT People,,Australia,Australian Capital Territory,ACT,,,Contract/Temp
Data Scientist Lead APAC,Information & Communication Technology,Business/Systems Analysts,HCL Australia Services Pty Ltd,HCL Australia Services,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data scientist,Information & Communication Technology,Other,Peoplebank Australia ACT,,Australia,Australian Capital Territory,ACT,,canberra,Contract/Temp
Senior Data Scientist,Information & Communication Technology,Telecommunications,Optus,Optus,Australia,New South Wales,Sydney,Ryde & Macquarie Park,macquariepark,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Preacta Recruitment,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist - Recommendation Systems,Science & Technology,"Mathematics, Statistics & Information Sciences",Talent Insights Group Pty Ltd,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Marketing Data Scientist,Marketing & Communications,Digital & Search Marketing,Appliances Online,Winning Group,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Marketing Data Scientist,Information & Communication Technology,Developers/Programmers,Winning Group,Winning Group,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Information & Communication Technology,Other,Compas Pty Ltd,,Australia,Victoria,Melbourne,,canberra,Contract/Temp
Data Scientist (various positions),Information & Communication Technology,Other,Recruitment Hive,,Australia,Australian Capital Territory,ACT,,,Contract/Temp
Data Scientist - $650 - $720/day,Information & Communication Technology,Consultants,Talentpool Recruitment Group,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Contract/Temp
Data Scientist ,Information & Communication Technology,Developers/Programmers,Hays Information Technology,,Australia,Australian Capital Territory,ACT,,,Contract/Temp
Senior Manager - Data Scientist,Consulting & Strategy,Management & Change Consulting,Capgemini Australia Pty Ltd,Capgemini,Australia,New South Wales,Sydney,,,Full Time
Data Scientist ,Information & Communication Technology,Database Development & Administration,Talent Street,,Australia,Australian Capital Territory,ACT,,,Contract/Temp
Senior Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Origin,Origin Energy,Australia,Queensland,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Senior Manager - Data Scientist,Consulting & Strategy,Management & Change Consulting,Capgemini Australia Pty Ltd,Capgemini,Australia,New South Wales,Sydney,,,Full Time
